"Step","TimeStamp","EplasedTime","Action"
"1","11:05:10","0","Set Recovery Model to Simple"
"2","11:05:11","0","Update Database Compatibility Level"
"3","11:05:11","0","Calculate file space needed for dataspace migration"
"4","11:05:11","0","Preallocate database file space"
"5","11:05:12","0","Turn off RCSI"
"6","11:05:25","0","Write service level to stamp"
"7","11:05:25","0","Prepare for Major Upgrade"
"8","11:05:25","0","Upgrade Framework Common database to Dev14.M62"
"9","11:05:25","0","Upgrade Framework Shared database to Dev14.M62"
"10","11:05:25","0","Update Database Id in the Dataspace Table if present"
"11","11:05:25","0","Adding columns to tbl_plan"
"12","11:05:26","0","Upgrade TestManagement database to Dev14.M62"
"13","11:05:26","0","Upgrade WorkItem database to Dev14.M62 (Pre Upgrade)"
"14","11:05:26","0","Upgrade WorkItem database to Dev14.M62"
"15","11:05:27","0","Upgrade VersionControl database to Dev14.M62"
"17","11:05:27","0","Fix most of DatabasePartition schema outside of the lock"
"18","11:05:27","0","Upgrade Framework Common database to Dev14.M63"
"19","11:05:28","0","Upgrade Framework Shared database to Dev14.M63"
"21","11:05:28","0","Upgrade Framework database to Dev14.M63"
"22","11:05:28","0","Upgrade WorkItem database to Dev14.M63"
"23","11:05:30","0","Clean up work item data"
"24","11:05:30","0","Upgrade TestManagement database to Dev14.M63"
"25","11:05:30","0","Upgrade VersionControl database to Dev14.M63"
"26","11:05:30","0","Upgrade Git database to Dev14.M63"
"27","11:05:30","0","Upgrade Framework Common database to Dev14.M64"
"28","11:05:31","0","Upgrade Framework Shared database to Dev14.M64"
"29","11:05:31","0","Populate IsRemotable column in tbl_SecurityNamespace"
"30","11:05:31","0","Upgrade WorkItem database to Dev14.M64"
"31","11:05:31","0","Upgrade WorkItem database to Dev14.M64 (no lock)"
"32","11:05:33","0","Set work item change watermark offset"
"33","11:05:33","0","Migrate Work Items to Long Schema"
"34","11:06:34","1","Upgrade TestManagement database to Dev14.M64"
"35","11:06:34","1","Add a row for TestAgentCounter"
